编号,论文,arXiv,一级目录,二级方向,摘要页,PDF直链
13,Exploring the Adversarial Vulnerabilities of Vision-Language-Action Models in Robotics,2411.13587,01_恶意攻击防御,动作空间对抗,https://arxiv.org/abs/2411.13587,https://arxiv.org/pdf/2411.13587.pdf
14,AdvNav: Behavior-Guided Black-Box Adversarial Attacks on Vision-Language Navigation,2607.11063,01_恶意攻击防御,黑盒对抗攻击,https://arxiv.org/abs/2607.11063,https://arxiv.org/pdf/2607.11063.pdf
15,Adversarial Attacks on Robotic Vision Language Action Models,2506.03350,01_恶意攻击防御,文本后缀动作劫持,https://arxiv.org/abs/2506.03350,https://arxiv.org/pdf/2506.03350.pdf
16,Manipulating Multimodal Agents via Cross-Modal Prompt Injection,2504.14348,01_恶意攻击防御,跨模态提示注入,https://arxiv.org/abs/2504.14348,https://arxiv.org/pdf/2504.14348.pdf
17,Hijacking Robots with a Piece of Paper: A Systematic Study of Physical Prompt Injection in VLM-Controlled Robots,2608.05715,01_恶意攻击防御,物理提示注入,https://arxiv.org/abs/2608.05715,https://arxiv.org/pdf/2608.05715.pdf
18,ANNIE: Be Careful of Your Robots,2509.03383,01_恶意攻击防御,物理风险基准与攻击,https://arxiv.org/abs/2509.03383,https://arxiv.org/pdf/2509.03383.pdf
19,RedVLA: Physical Red Teaming for Vision-Language-Action Models,2604.22591,01_恶意攻击防御,物理红队,https://arxiv.org/abs/2604.22591,https://arxiv.org/pdf/2604.22591.pdf
20,LIBERO-Plus: In-depth Robustness Analysis of Vision-Language-Action Models,2510.13626,02_软硬件误差处理,环境传感初态鲁棒性,https://arxiv.org/abs/2510.13626,https://arxiv.org/pdf/2510.13626.pdf
21,LIBERO-Safety: A Comprehensive Benchmark for Physical and Semantic Safety in Vision-Language-Action Models,2606.23686,02_软硬件误差处理,物理语义安全基准,https://arxiv.org/abs/2606.23686,https://arxiv.org/pdf/2606.23686.pdf
22,ForesightSafety-VLA: A Unified Diagnostic Safety Benchmark for Vision-Language-Action Models,2606.27079,03_黑盒决策异常与保障,多源安全诊断,https://arxiv.org/abs/2606.27079,https://arxiv.org/pdf/2606.27079.pdf
23,How VLAs Fail Differently: Black-Box Action Monitoring Reveals Architecture-Specific Failure Signatures,2605.28726,03_黑盒决策异常与保障,纯黑盒动作监测,https://arxiv.org/abs/2605.28726,https://arxiv.org/pdf/2605.28726.pdf
24,When and How Severely: Scenario-Specific Safety Envelopes for Driving VLAs,2606.14238,02_软硬件误差处理,传感扰动安全包络,https://arxiv.org/abs/2606.14238,https://arxiv.org/pdf/2606.14238.pdf
25,SAFE: Multitask Failure Detection for Vision-Language-Action Models,2506.09937,03_黑盒决策异常与保障,内部特征失效预测,https://arxiv.org/abs/2506.09937,https://arxiv.org/pdf/2506.09937.pdf
26,Foresight: Failure Detection for Long-Horizon Robotic Manipulation with Action-Conditioned World Model Latents,2606.23085,03_黑盒决策异常与保障,世界模型失效预测,https://arxiv.org/abs/2606.23085,https://arxiv.org/pdf/2606.23085.pdf
27,SafeVLA: Towards Safety Alignment of Vision-Language-Action Model via Constrained Learning,2503.03480,03_黑盒决策异常与保障,安全对齐约束RL,https://arxiv.org/abs/2503.03480,https://arxiv.org/pdf/2503.03480.pdf
28,SafeDojo: Safe Reinforcement Learning for VLA via Interactive World Model,2606.20698,03_黑盒决策异常与保障,世界模型安全RL,https://arxiv.org/abs/2606.20698,https://arxiv.org/pdf/2606.20698.pdf
29,SafeAlign-VLA: A Negative-Enhanced Safe Alignment Framework for Risk-Aware Autonomous Driving,2605.19524,03_黑盒决策异常与保障,负样本安全对齐,https://arxiv.org/abs/2605.19524,https://arxiv.org/pdf/2605.19524.pdf
30,SafeBimanual: Diffusion-based Trajectory Optimization for Safe Bimanual Manipulation,2508.18268,03_黑盒决策异常与保障,测试时动作约束,https://arxiv.org/abs/2508.18268,https://arxiv.org/pdf/2508.18268.pdf
31,Neuro-Symbolic Safety Guidance for Vision-Language-Action Models via Constrained Flow Matching,2607.01378,03_黑盒决策异常与保障,生成期安全约束,https://arxiv.org/abs/2607.01378,https://arxiv.org/pdf/2607.01378.pdf
32,Safe Vision Language Action Models via Barrier Enhanced Flow Matching,2607.29569,03_黑盒决策异常与保障,屏障函数生成约束,https://arxiv.org/abs/2607.29569,https://arxiv.org/pdf/2607.29569.pdf
33,ProbeAct: Probe-Guided Training-Free Failure Recovery in Vision-Language-Action Models,2606.09740,03_黑盒决策异常与保障,检测与恢复,https://arxiv.org/abs/2606.09740,https://arxiv.org/pdf/2606.09740.pdf
34,Modular Safety Guardrails Are Necessary for Foundation-Model-Enabled Robots in the Real World,2602.04056,03_黑盒决策异常与保障,模块化运行时守卫,https://arxiv.org/abs/2602.04056,https://arxiv.org/pdf/2602.04056.pdf
35,Verifiable Foundation Models for Robot Safety,2606.23754,03_黑盒决策异常与保障,可验证安全模块,https://arxiv.org/abs/2606.23754,https://arxiv.org/pdf/2606.23754.pdf
36,LabGuard: Grounding Natural-Language Laboratory Rules into Runtime Guards for Embodied Laboratory Agents,2606.31045,03_黑盒决策异常与保障,规则驱动运行时守卫,https://arxiv.org/abs/2606.31045,https://arxiv.org/pdf/2606.31045.pdf
37,Pre-VLA: Preemptive Runtime Verification for Reliable Vision-Language-Action and World-Model Rollouts,2605.22446,03_黑盒决策异常与保障,执行前验证重采样,https://arxiv.org/abs/2605.22446,https://arxiv.org/pdf/2605.22446.pdf
38,Don't Run with Scissors: Pruning Breaks VLA Models but They Can Be Recovered,2510.08464,02_软硬件误差处理,剪枝误差与恢复,https://arxiv.org/abs/2510.08464,https://arxiv.org/pdf/2510.08464.pdf
39,"Security of World-Model-Based Embodied AI: A Lifecycle of Threats, Defenses, and Evaluation",2607.28226,00_总览框架,世界模型生命周期安全,https://arxiv.org/abs/2607.28226,https://arxiv.org/pdf/2607.28226.pdf
40,VLAGuard: A Framework for Evaluating and Mitigating Physical Attention Hijacking in Vision-Language-Action Robots within Wireless Sensor Networks,2608.01028,01_恶意攻击防御,物理注意力劫持与防御,https://arxiv.org/abs/2608.01028,https://arxiv.org/pdf/2608.01028.pdf
41,Hidden in Plain Sight: Diffusion-Based Unrestricted Robotic Attacks on Vision-Language-Action Models,2608.10393,01_恶意攻击防御,自然外观物理补丁攻击,https://arxiv.org/abs/2608.10393,https://arxiv.org/pdf/2608.10393.pdf
42,Bit-Flip Attacks on Vision-Language-Action Models: Action-Decoding Architecture Shapes the Vulnerability,2608.15475,01_恶意攻击防御,权重位翻转攻击,https://arxiv.org/abs/2608.15475,https://arxiv.org/pdf/2608.15475.pdf
43,"Security of Foundation-Model-Powered Embodied Agents: Attack Surfaces, Attacks, Defenses, and Evaluation",2608.16843,00_总览框架,信任边界安全综述,https://arxiv.org/abs/2608.16843,https://arxiv.org/pdf/2608.16843.pdf
S01,Uncovering Vulnerability of Vision-Language-Action Models under Joint-Level Physical Faults,2606.10501,02_软硬件误差处理,关节执行器物理故障,https://arxiv.org/abs/2606.10501,https://arxiv.org/pdf/2606.10501.pdf
S02,Health-Conditioned Vision-Language-Action Models for Malfunction-Aware Robot Control,2605.16056,02_软硬件误差处理,关节退化与故障适应,https://arxiv.org/abs/2605.16056,https://arxiv.org/pdf/2605.16056.pdf
S03,Quantization-Aware Imitation-Learning for Resource-Efficient Robotic Control,2412.01034,02_软硬件误差处理,低比特量化误差,https://arxiv.org/abs/2412.01034,https://arxiv.org/pdf/2412.01034.pdf
S04,RLRC: Reinforcement Learning-based Recovery for Compressed Vision-Language-Action Models,2506.17639,02_软硬件误差处理,压缩后恢复,https://arxiv.org/abs/2506.17639,https://arxiv.org/pdf/2506.17639.pdf
S05,SAVE: Software-Implemented Fault Tolerance for Model Inference against GPU Memory Bit Flips,USENIX ATC 2025,02_软硬件误差处理,GPU内存bit flip,https://www.usenix.org/conference/atc25/presentation/zheng,https://www.usenix.org/system/files/atc25-zheng.pdf
