No.,Title,arXiv,Category,Subtopic,Stage,Tags,Problem,Core idea,Why it matters,Figure
11,FreezeVLA: Action-Freezing Attacks against Vision-Language-Action Models,2509.19870,01. Malicious Attacks & Defense,冻结攻击,Attack,VLA | DoS | Freezing,机器人“不行动”也可能造成生产线停摆或紧急操作失败，而且停止后相机视角固定会让视觉攻击更持久。,用 min-max 双层优化：内层寻找最难被冻结的指令表达，外层优化同一张图像去击败这些指令并持续诱导 stop / no-op。,把安全风险从“错误动作”扩展到“持续拒绝动作”，揭示紧急干预指令也可能被攻击覆盖。,assets/figures/11_freezevla-action-freezing-attacks-against-vision-language-action-models.png
12,When Alignment Fails: Multimodal Adversarial Attacks on Vision-Language-Action Models,2511.16203,01. Malicious Attacks & Defense,多模态对抗与错配,Attack Toolbox,VLA | Multimodal | Alignment,只攻击图像或文本无法解释 VLA 的整体脆弱性，因为真正的决策建立在视觉对象、语言指代与动作之间的对齐上。,统一比较文本扰动、视觉 patch / noise 与 cross-modal mismatch，主动破坏“看见什么—指令说什么—动作做什么”的对应关系。,把攻击面从单一 modality 扩展为 alignment chain，有助于理解跨模态错误如何传递到动作。,assets/figures/12_when-alignment-fails-multimodal-adversarial-attacks-on-vision-language-a.png
13,Exploring the Adversarial Vulnerabilities of Vision-Language-Action Models in Robotics,2411.13587,01. Malicious Attacks & Defense,动作空间对抗,Attack,VLA | Action Space | Physical Patch,离散 action token 被改变并不代表机械臂在物理空间中真的产生显著偏移。,直接优化动作幅值、三维方向和目标错误轨迹，并在物理 patch 中加入视角/颜色变换以增强现实鲁棒性。,把攻击目标从“输出变了”改成“物理轨迹偏了多少”，更符合闭环机器人攻击的评价需求。,assets/figures/13_exploring-the-adversarial-vulnerabilities-of-vision-language-action-mode.png
14,AdvNav: Behavior-Guided Black-Box Adversarial Attacks on Vision-Language Navigation,2607.11063,01. Malicious Attacks & Defense,黑盒对抗攻击 / VLN,Black-box Attack,VLN | Black-box | Evolutionary Search,VLN 是多步闭环任务，攻击者通常拿不到模型梯度，单步分类式黑盒攻击信号又太弱。,用最终导航误差、路径效率和逐步错误动作倾向构造双粒度行为反馈，通过选择、交叉、变异进化视觉噪声。,展示了“只看行为结果”也能驱动长时程黑盒攻击；这里的 black-box 指攻击者不可见模型内部。,assets/figures/14_advnav-behavior-guided-black-box-adversarial-attacks-on-vision-language-.png
15,Adversarial Attacks on Robotic Vision Language Action Models,2506.03350,01. Malicious Attacks & Defense,文本后缀动作劫持,Attack,VLA | Text Attack | Action Hijack,VLA 的离散动作 token 可能继承语言模型的 adversarial suffix / jailbreak 脆弱性。,把 GCG 类文本梯度搜索的目标从词 token 改为机器人动作 token，并对连续多帧联合优化同一恶意后缀。,说明语言接口不仅能改变高层语义，还可能直接获得低层 7-DoF 动作的控制权。,assets/figures/15_adversarial-attacks-on-robotic-vision-language-action-models.png
16,Manipulating Multimodal Agents via Cross-Modal Prompt Injection,2504.14348,01. Malicious Attacks & Defense,跨模态提示注入,Attack,Multimodal Agent | Prompt Injection | Cross-modal,单独把恶意语义藏进图像可能不够可解释，单独文字注入又容易被 system prompt 防御。,让视觉潜空间与恶意目标对齐，同时搜索能绕过防御提示的文本命令，使两个模态共同指向同一未授权任务。,揭示跨模态“互相增强”会放大 prompt injection 风险，对能读取网页/文档的多模态智能体尤其重要。,assets/figures/16_manipulating-multimodal-agents-via-cross-modal-prompt-injection.png
17,Hijacking Robots with a Piece of Paper: A Systematic Study of Physical Prompt Injection in VLM-Controlled Robots,2608.05715,01. Malicious Attacks & Defense,物理提示注入,Physical Prompt Injection,VLM Robot | Prompt Injection | Real World,机器人高层规划器会同时读取操作员指令和环境文字，却未必能区分可信指令与不可信场景文本。,设计间接标牌、任务重定义、权限冒充、冲突注入四类攻击，在多模型/布局/任务上系统测试，并比较提示防御、二次核验和文字遮蔽。,最直观地说明“一张纸”就能成为现实世界的 prompt injection 载体。,assets/figures/17_hijacking-robots-with-a-piece-of-paper-a-systematic-study-of-physical-pr.png
18,ANNIE: Be Careful of Your Robots,2509.03383,01. Malicious Attacks & Defense,物理风险基准与攻击,Benchmark + Attack,Benchmark | Physical Safety | Risk,任务成功率无法区分“安全失败”和“不安全成功”，也缺少可操作的物理风险目标。,依据人机交互安全标准建立多级风险、9 类场景和 2400 条序列，并训练攻击 leader 逐帧给出风险方向与强度，配合稀疏攻击。,把抽象安全概念转成可度量的轨迹风险，为后续检测、红队和安全训练提供统一数据入口。,assets/figures/18_annie-be-careful-of-your-robots.png
19,RedVLA: Physical Red Teaming for Vision-Language-Action Models,2604.22591,01. Malicious Attacks & Defense,物理红队,Red Team + Guard,VLA | Red Teaming | Runtime Guard,固定安全场景只能被动测模型，难以主动找到最容易触发危险的环境状态。,从正常轨迹识别抓取/运输/振荡区域，放入风险物体，再依据闭环轨迹用无梯度优化移动风险物体；最终用红队数据训练轻量 guard。,把具身红队从“随机放危险物”升级成 trajectory-guided risk amplification。,assets/figures/19_redvla-physical-red-teaming-for-vision-language-action-models.png
20,LIBERO-Plus: In-depth Robustness Analysis of Vision-Language-Action Models,2510.13626,02. Soft/Hardware Errors & Robustness,环境 / 传感 / 初态鲁棒性,Robustness Benchmark,VLA | Robustness | LIBERO,标准 LIBERO 上的高成功率可能只是记住固定相机、初始姿态和空间关系，并不代表真实鲁棒能力。,围绕 object layout、camera viewpoint、robot initial state、language、light、background、sensor noise 七个维度进行控制变量和分级扰动评测。,结果显示轻微相机/初态变化即可让部分模型从接近满分跌至极低水平，直接揭示“benchmark success ≠ reliable competence”。,assets/figures/20_libero-plus-in-depth-robustness-analysis-of-vision-language-action-model.png
21,LIBERO-Safety: A Comprehensive Benchmark for Physical and Semantic Safety in Vision-Language-Action Models,2606.23686,02. Soft/Hardware Errors & Robustness,物理与语义安全基准,Safety Benchmark,VLA | Physical Safety | Semantic Safety,机器人可能最终完成任务，但中途发生碰撞；也可能轨迹完全无碰撞，却安全地操作了错误目标。,用参数化场景和少量关键位姿，经 motion planner 自动生成严格无碰撞示范，并分别评估 physical safety 与 semantic safety。,把“轨迹是否安全”和“事情是否做对”拆开，避免单一成功率掩盖安全退化。,assets/figures/21_libero-safety-a-comprehensive-benchmark-for-physical-and-semantic-safety.png
22,ForesightSafety-VLA: A Unified Diagnostic Safety Benchmark for Vision-Language-Action Models,2606.27079,03. Decision Anomaly Detection & Assurance,多源安全诊断,Diagnostic Benchmark,VLA | Diagnosis | Long-horizon,一个安全成功率无法说明危险来自视觉、语言还是物理执行，也无法衡量风险在轨迹中持续了多久。,构造 13 类风险与 scene/language/vision 三类控制变量，记录累计安全成本、风险暴露时间和四象限安全/不安全成功失败。,提供“哪里出了问题、持续多久、最终结果如何”的诊断视角，而不只是给模型一个总分。,assets/figures/22_foresightsafety-vla-a-unified-diagnostic-safety-benchmark-for-vision-lan.png
23,How VLAs Fail Differently: Black-Box Action Monitoring Reveals Architecture-Specific Failure Signatures,2605.28726,03. Decision Anomaly Detection & Assurance,纯黑盒动作监测,Black-box Runtime Monitor,VLA | Black-box | Conformal,给所有 VLA 使用同一个速度/抖动阈值并不可靠，因为离散 token、diffusion 和 action chunking 的动作统计天然不同。,SafeContract 只观察 action output，计算 reversal、jerk、momentum coherence、spectral energy、velocity 等指标，并用 conformal calibration / CUSUM 做运行时监测。,方向反复是跨架构较稳定的失败信号，而 jerk 只对离散族强；核心结论是 monitor 必须 architecture-matched。,assets/figures/23_how-vlas-fail-differently-black-box-action-monitoring-reveals-architectu.png
24,When and How Severely: Scenario-Specific Safety Envelopes for Driving VLAs,2606.14238,02. Soft/Hardware Errors & Robustness,传感扰动安全包络,Safety Envelope,Driving VLA | Sensor Perturbation | Functional Safety,平均轨迹误差会掩盖低频但高严重度失败，而且不同驾驶场景可容忍的误差范围不同。,针对每类场景同时估计“扰动多大时越过安全线”和“越线后严重度如何分布”，形成二维 scenario-specific safety envelope。,把鲁棒性测试从平均性能转向 failure onset + tail severity，更接近功能安全分析。,assets/figures/24_when-and-how-severely-scenario-specific-safety-envelopes-for-driving-vla.png
25,SAFE: Multitask Failure Detection for Vision-Language-Action Models,2506.09937,03. Decision Anomaly Detection & Assurance,内部特征失效预测,Runtime Failure Detection,VLA | Hidden Feature | Conformal,如果每个机器人任务都要单独训练失败检测器，通用 VLA 的部署成本会很高。,从 VLA 中间 hidden features 学习连续 failure probability，并用 conformal prediction 校准报警阈值，在提前量和误报之间权衡。,说明不同任务虽然视觉/动作不同，但模型内部“正在失败”的表示具有一定跨任务共性。,assets/figures/25_safe-multitask-failure-detection-for-vision-language-action-models.png
26,Foresight: Failure Detection for Long-Horizon Robotic Manipulation with Action-Conditioned World Model Latents,2606.23085,03. Decision Anomaly Detection & Assurance,世界模型失效预测,Runtime Failure Detection,World Model | Long-horizon | Conformal,长时程失败往往没有明确 onset：小偏差可能几十步之后才导致不可恢复结果，当前单帧看起来甚至完全正常。,用 action-conditioned world model 提取 observed / predicted latent，经 causal Transformer 聚合时序信息，再用 functional conformal prediction 构造随时间变化的报警阈值。,不依赖 VLA logits 或 hidden states，只需 observation + action chunk 接口，更适合跨 policy 的统一监测。,assets/figures/26_foresight-failure-detection-for-long-horizon-robotic-manipulation-with-a.png
27,SafeVLA: Towards Safety Alignment of Vision-Language-Action Model via Constrained Learning,2503.03480,03. Decision Anomaly Detection & Assurance,安全对齐 / 约束 RL,Training-time Alignment,VLA | Safe RL | CMDP,普通模仿学习主要展示“应该怎么做”，危险状态在真实数据里很少，模型未必真正学到安全边界。,将任务收益与累计安全代价写成 constrained MDP，先主动诱发危险轨迹，再根据当前违规程度动态调节安全约束进行 RL。,把安全从部署后的外挂检测，前移到策略训练目标中，并显式建模 task performance–safety trade-off。,assets/figures/27_safevla-towards-safety-alignment-of-vision-language-action-model-via-con.png
28,SafeDojo: Safe Reinforcement Learning for VLA via Interactive World Model,2606.20698,03. Decision Anomaly Detection & Assurance,世界模型安全 RL,Training-time Safe RL,VLA | World Model | Safe RL,安全强化学习需要真正经历危险状态，但真实机器人不能为了训练反复碰撞、摔物体。,把 interactive world model 当作可安全犯错的虚拟训练场，分别评估 imagined rollout 的任务进展和风险代价，再做 constrained RL 更新。,世界模型不只是预测器，也可以成为低成本的 safety exploration environment。,assets/figures/28_safedojo-safe-reinforcement-learning-for-vla-via-interactive-world-model.png
29,SafeAlign-VLA: A Negative-Enhanced Safe Alignment Framework for Risk-Aware Autonomous Driving,2605.19524,03. Decision Anomaly Detection & Assurance,负样本安全对齐,Safety Alignment,Driving VLA | Negative Data | Preference,专家数据大多只有正确轨迹，模型很少看到“看似合理但其实危险”的 hard negative。,为高风险场景构造危险轨迹与安全替代轨迹对，先学习识别/修正，再通过偏好式强化扩大 safe–unsafe trajectory margin。,用有针对性的 negative examples 直接刻画安全决策边界，比随机错误动作更有训练价值。,assets/figures/29_safealign-vla-a-negative-enhanced-safe-alignment-framework-for-risk-awar.png
30,SafeBimanual: Diffusion-based Trajectory Optimization for Safe Bimanual Manipulation,2508.18268,03. Decision Anomaly Detection & Assurance,测试时动作约束,Test-time Constraint,Bimanual | Diffusion | Trajectory Optimization,双臂操作的防碰撞、防撕裂等约束随任务阶段变化，固定 rule set 很难兼顾所有情况。,由 VLM 判断当前任务阶段并选择安全代价，在预训练 diffusion policy 的每一步 denoising 中对候选轨迹做 test-time guidance。,无需重训主策略，就能在动作生成过程中按场景动态注入安全约束。,assets/figures/30_safebimanual-diffusion-based-trajectory-optimization-for-safe-bimanual-m.png
31,Neuro-Symbolic Safety Guidance for Vision-Language-Action Models via Constrained Flow Matching,2607.01378,03. Decision Anomaly Detection & Assurance,生成期安全约束,Generation-time Constraint,VLA | Flow Matching | Neuro-symbolic,只检查“下一步会不会撞”对 action chunk 太晚：前几步安全，第五步可能已经注定违反约束。,在 flow-matching 每个中间生成步骤都展开完整未来轨迹，用符号安全约束检查并对生成方向做尽可能小的修正。,把 runtime shield 提前到生成过程中，实现对整段未来动作的持续前瞻检查。,assets/figures/31_neuro-symbolic-safety-guidance-for-vision-language-action-models-via-con.png
32,Safe Vision Language Action Models via Barrier Enhanced Flow Matching,2607.29569,03. Decision Anomaly Detection & Assurance,屏障函数生成约束,Generation-time Constraint,VLA | Barrier Function | Flow Matching,生成完再强行截断/投影虽然能避碰，却可能让动作偏离原策略分布过大、破坏任务能力。,将整段 action chunk 的 barrier-based safety condition 注入 flow matching，寻找满足约束同时尽量保持原策略行为的最小修正。,同时考虑“必须安全”和“不要为安全改得太多”，并给出动作分布偏移的理论分析。,assets/figures/32_safe-vision-language-action-models-via-barrier-enhanced-flow-matching.png
33,ProbeAct: Probe-Guided Training-Free Failure Recovery in Vision-Language-Action Models,2606.09740,03. Decision Anomaly Detection & Assurance,失败检测与恢复,Runtime Recovery,VLA | Probe | Failure Recovery,最终动作错并不一定说明模型完全看错了；失败时 hidden representation 里可能仍保留准确的目标几何信息。,从 hidden features probe 目标 3D 位置，用状态机判断接近/抓取/搬运/放置阶段，检测偏离后通过分层安全约束做在线最小动作修正。,证明部分 VLA 失败发生在“正确内部表示 → 错误最终动作”这一段，因此可以 training-free 地局部恢复。,assets/figures/33_probeact-probe-guided-training-free-failure-recovery-in-vision-language-.png
34,Modular Safety Guardrails Are Necessary for Foundation-Model-Enabled Robots in the Real World,2602.04056,03. Decision Anomaly Detection & Assurance,模块化运行时守卫,System Guardrail,Foundation Model | Guardrail | System Design,现实机器人风险跨动作、决策和人因层面，让单个端到端模型承担全部安全职责既难验证也难维护。,提出模块化 guardrail 架构：不同模块分别监测不同风险，按风险放行/修改/重规划/阻止，并显式传递上游风险结构和协调保守程度。,给出比“再训练一个更安全的大模型”更工程化的系统安全路线。,assets/figures/34_modular-safety-guardrails-are-necessary-for-foundation-model-enabled-rob.png
35,Verifiable Foundation Models for Robot Safety,2606.23754,03. Decision Anomaly Detection & Assurance,可验证安全模块,Formal Verification,Foundation Model | Formal | Safety Module,直接形式化验证数十亿参数的 VLA 几乎不可行，但许多最终物理安全约束只依赖少量距离/位置等低维变量。,让大模型负责复杂任务理解，只输出受限任务信息；小型安全动作模块再结合低维安全传感器给出最终动作，并只对这个模块做形式化验证。,把“智能”与“可证明安全”解耦，使 foundation-model robot 获得可计算的 verification boundary。,assets/figures/35_verifiable-foundation-models-for-robot-safety.png
36,LabGuard: Grounding Natural-Language Laboratory Rules into Runtime Guards for Embodied Laboratory Agents,2606.31045,03. Decision Anomaly Detection & Assurance,规则驱动运行时守卫,Runtime Guard,Lab Agent | Rules | Runtime,现实安全要求常写在自然语言手册里，如“加热器开启时易燃物不得靠近”，控制器却无法直接执行这些句子。,把规则解析成对象—条件—动作范围—风险程度—干预方式等 typed IR，再自动编译成运行时 monitor，在执行前选择放行、修改或阻止。,补齐从自然语言安全知识到可执行 runtime guard 的最后一公里。,assets/figures/36_labguard-grounding-natural-language-laboratory-rules-into-runtime-guards.png
37,Pre-VLA: Preemptive Runtime Verification for Reliable Vision-Language-Action and World-Model Rollouts,2605.22446,03. Decision Anomaly Detection & Assurance,执行前验证与重采样,Pre-execution Verification,VLA | Runtime | Resampling,坏 action chunk 一旦真实执行会直接失败；如果先送入 world model，又会污染后续 imagined rollout 并浪费计算。,动作块生成后同时预测 safety confidence 和 long-term advantage；不合格则在预算内重采样，预算耗尽后从候选中选综合价值最优者。,把可靠性检查前移到“动作进入物理世界/世界模型之前”，从 post-hoc detection 变成 proactive verification。,assets/figures/37_pre-vla-preemptive-runtime-verification-for-reliable-vision-language-act.png
38,Don't Run with Scissors: Pruning Breaks VLA Models but They Can Be Recovered,2510.08464,02. Soft/Hardware Errors & Robustness,剪枝误差与恢复,Compression Reliability,VLA | Pruning | Recovery,语言模型里看起来温和的结构化剪枝，在 VLA 闭环中可能因单步误差不断反馈而造成大幅任务退化和更多安全违规。,分析原模型与剪枝模型的权重差值，对被移除信息做低秩分解，只恢复最重要的少数方向，同时保留主要稀疏计算收益。,直接证明“系统优化不是纯性能问题”：压缩/低精度等效率改造必须把 closed-loop robustness 当作一等约束。,assets/figures/38_don-t-run-with-scissors-pruning-breaks-vla-models-but-they-can-be-recove.png
39,"Security of World-Model-Based Embodied AI: A Lifecycle of Threats, Defenses, and Evaluation",2607.28226,00. Surveys & Frameworks,世界模型生命周期安全,Survey,World Model | Lifecycle | Security,世界模型既承担状态压缩、未来预测与规划，又可能把数据、传感、提示或反馈中的破坏沿闭环传播到真实动作；仅按单个攻击机制分类难以描述这种生命周期风险。,沿数据构建与表征学习、状态落地与想象、轨迹评估与执行、记忆和工具驱动的长期适应梳理威胁，并把 provenance、鲁棒 grounding、uncertainty-aware prediction、trajectory gating 与 feedback auditing 等防御对应到各阶段。,把世界模型从孤立预测组件提升为具身系统的安全边界，便于分析攻击如何跨阶段传播，以及保障机制应部署在何处。,assets/figures/39_security-of-world-model-based-embodied-ai-lifecycle-security.png
40,VLAGuard: A Framework for Evaluating and Mitigating Physical Attention Hijacking in Vision-Language-Action Robots within Wireless Sensor Networks,2608.01028,01. Malicious Attacks & Defense,物理注意力劫持与防御,Attack + Defense,VLA | Physical Patch | Attention Defense,可打印物理补丁能够劫持 VLA 的 action-conditioned cross-attention，使机器人在真实闭环中忽略与任务相关的视觉区域并产生危险动作。,先以 VASA 根据 visuomotor attention 构造语义补丁进行压力测试，再用 APFT 稳定时空注意力并约束几何一致性，在不增加推理开销的情况下提升攻击下的鲁棒性。,工作把 attention-pathway vulnerability 与仿真和实体机器人的物理后果直接关联，并给出与该攻击面对应的训练期防御。,
41,Hidden in Plain Sight: Diffusion-Based Unrestricted Robotic Attacks on Vision-Language-Action Models,2608.10393,01. Malicious Attacks & Defense,自然外观物理补丁攻击,Physical Attack,VLA | Diffusion | Physical Patch,传统 VLA 对抗攻击常依赖像素级扰动或白盒梯度，生成物明显且现实部署条件受限，难以代表自然外观攻击物进入机器人视野时的风险。,DURA 在预训练扩散模型的潜在轨迹上优化自然外观补丁，使机器人趋向攻击者指定动作；方法同时支持白盒设置和只读取预测动作的黑盒设置，并在仿真与实体系统中评测。,它把 VLA 物理攻击从易察觉的像素扰动推进到更具现实可实现性的 unrestricted patch，扩大了闭环红队评测应覆盖的威胁范围。,
42,Bit-Flip Attacks on Vision-Language-Action Models: Action-Decoding Architecture Shapes the Vulnerability,2608.15475,01. Malicious Attacks & Defense,权重位翻转攻击,Weight-Integrity Attack,VLA | Bit Flip | Weight Integrity,量化 VLA 的 INT8 权重可能遭受 Rowhammer 风格的定向位翻转，而动作解码头的架构会显著影响少量权重破坏在闭环中的失效程度。,用梯度选择高影响位并设计 manifold-escape 目标，跨三类 action head 比较攻击预算，同时评估只保护少量关键权重的选择性防护方案。,结果将模型权重完整性明确为具身基础模型的安全边界，并表明位翻转防护需要针对动作生成架构，而不能只依据随机故障测试。,assets/figures/42_bit-flip-attacks-on-vision-language-action-models.png
43,"Security of Foundation-Model-Powered Embodied Agents: Attack Surfaces, Attacks, Defenses, and Evaluation",2608.16843,00. Surveys & Frameworks,信任边界安全综述,Survey,Embodied Agent | Trust Boundary | Security,按 jailbreak、prompt injection 或 adversarial example 等机制组织攻击，往往无法说明攻击者最先突破了具身闭环中的哪条信任边界，也难以定位跨层传播路径。,采用 first-compromised-trust-boundary 原则，将系统组织为五层十二类攻击面，并基于 58 条攻击记录和 61 条防御记录分析攻击传播、防御位置与评测实践。,这种边界优先的视角有助于把防御放到正确接口，同时揭示 context / memory、middleware、world-state integrity 与 multi-agent trust 等研究缺口。,assets/figures/43_security-of-foundation-model-powered-embodied-agents.png
44,FLARE: A Failure-Aware Framework for Autonomous Correction and Recovery in Visual-Language Robotic Manipulation,2608.26645,03. Decision Anomaly Detection & Assurance,自主纠错与恢复,Runtime Recovery,VLA | Failure Monitoring | Recovery,由无故障示范训练的 VLA 在漏抓、物体掉落或意外碰撞后往往无法回到有效任务状态，单纯继续执行会把局部偏差放大为长时程失败。,FLARE 用扰动与 bridging segments 训练可处理一般偏差的 Retry 能力，再由离线 MLLM 分析执行视频、收集少量对象中心 Reset 技能，并让在线 MLLM monitor 在任务策略与 Reset 之间仲裁。,它区分可直接纠正的执行偏差与破坏任务状态的 OOD 故障，把检测、状态恢复和继续执行组织成统一的接触式操作闭环。,
45,TrapVLA: Trapping Vision-Language-Action Models in Configured Failure Modes,2608.26578,01. Malicious Attacks & Defense,可配置失败后门,Backdoor Attack,VLA | Backdoor | Configured Failure,已有 VLA 后门工作通常把任意任务失败都计为攻击成功，无法刻画攻击者是否能隐蔽地控制机器人以指定方式失败。,构建目标轨迹数据引擎与 Trap-LIBERO、Trap-RoboTwin 基准，并通过学习文本触发器诱导的稀疏动作残差，把正常轨迹导向四类预设失败模式。,它把后门威胁从“让任务失败”推进到“控制失败形态”，且在仿真和实体设置中保持干净数据性能，说明看似自然的闭环失效也可能来自定向操纵。,assets/figures/45_trapvla-configured-failure-trapping.png
46,Arrive and Survive: Scaling Safe Goal-Conditioned Policy Learning from One-Bit Failure Signals,2608.26571,03. Decision Anomaly Detection & Assurance,失败终止下的安全策略学习,Training-time Safe RL,Safe RL | Failure Termination | Goal-conditioned Policy,在失败即终止的任务中，传统 contrastive RL 忽略终止所移除的未来概率质量，会高估临近失败轨迹的到达价值并反向强化不安全动作。,Safe-CRL 以 mass-weighted InfoNCE 修正短存活未来在 critic 学习中的过权重，再用 log-survival-mass score 恢复策略优化缺失的生存质量，仅依赖单比特失败终止信号。,该工作从目标函数层面解释并修复失败终止偏差，在十二个机器人导航和运动任务中同时改善生存与到达表现，为可扩展安全策略学习提供了低标注路径。,assets/figures/46_arrive-and-survive-safe-crl.png
